scheduled_utc,queued_utc,executed_utc,queue_delay_sec,total_delay_sec,run_id,run_number,run_attempt,event
2026-09-16 19:00:00,2026-09-16 19:58:04,2026-09-16 19:58:12,3484,3492,35143707210,2,1,schedule
2026-09-16 22:00:00,2026-09-16 22:52:39,2026-09-16 22:52:45,3159,3165,35159755927,3,1,schedule
2026-09-17 01:00:00,2026-09-17 01:16:44,2026-09-17 01:16:49,1004,1009,35169928345,4,1,schedule
2026-09-17 07:00:00,2026-09-17 07:31:28,2026-09-17 07:31:34,1888,1894,35194954505,5,1,schedule
2026-09-17 13:00:00,2026-09-17 13:20:21,2026-09-17 13:20:27,1221,1227,35226440973,6,1,schedule
2026-09-17 18:00:00,2026-09-17 18:07:23,2026-09-17 18:07:28,443,448,35256890739,7,1,schedule
2026-09-17 22:00:00,2026-09-17 22:03:01,2026-09-17 22:03:06,181,186,35280006207,8,1,schedule
2026-09-18 01:00:00,2026-09-18 01:12:07,2026-09-18 01:12:12,727,732,35294348296,9,1,schedule
2026-09-18 07:00:00,2026-09-18 07:19:53,2026-09-18 07:19:59,1193,1199,35318904378,10,1,schedule
2026-09-18 12:00:00,2026-09-18 12:54:30,2026-09-18 12:54:38,3270,3278,35347167839,11,1,schedule
2026-09-18 17:00:00,2026-09-18 17:02:22,2026-09-18 17:02:28,142,148,35371981767,12,1,schedule
2026-09-18 20:00:00,2026-09-18 20:48:19,2026-09-18 20:48:24,2899,2904,35393427159,13,1,schedule
2026-09-18 23:00:00,2026-09-18 23:11:01,2026-09-18 23:11:08,661,668,35404672961,14,1,schedule
2026-09-19 04:00:00,2026-09-19 04:22:55,2026-09-19 04:23:00,1375,1380,35421128775,15,1,schedule
2026-09-19 09:00:00,2026-09-19 09:21:43,2026-09-19 09:21:48,1303,1308,35434482624,16,1,schedule
2026-09-19 13:00:00,2026-09-19 13:51:02,2026-09-19 13:51:09,3062,3069,35446971941,17,1,schedule
2026-09-19 17:00:00,2026-09-19 17:08:50,2026-09-19 17:08:56,530,536,35457169043,18,1,schedule
2026-09-19 20:00:00,2026-09-19 20:29:02,2026-09-19 20:29:07,1742,1747,35467515706,19,1,schedule
2026-09-19 22:00:00,2026-09-19 22:51:54,2026-09-19 22:52:00,3114,3120,35474522680,20,1,schedule
2026-09-20 00:00:00,2026-09-20 00:56:33,2026-09-20 00:56:39,3393,3399,35480079928,21,1,schedule
2026-09-20 06:00:00,2026-09-20 06:02:38,2026-09-20 06:03:20,158,200,35493197995,22,1,schedule
2026-09-20 12:00:00,2026-09-20 12:12:31,2026-09-20 12:12:37,751,757,35509960428,23,1,schedule
2026-09-20 16:00:00,2026-09-20 16:44:33,2026-09-20 16:44:38,2673,2678,35523659348,24,1,schedule
2026-09-20 19:00:00,2026-09-20 19:20:07,2026-09-20 19:20:13,1207,1213,35531960002,25,1,schedule
2026-09-20 22:00:00,2026-09-20 22:21:14,2026-09-20 22:21:54,1274,1314,35541409680,26,1,schedule
